orig_toxic,orig_neutral,toxic_comment,neutral_comment,lang,tt_toxic_new,tt_neutral_new,sim_score,toxic_score,neutral_score
"и,чё,блядь где этот херой был до этого со своими доказательствами?","Ну и где этот герой был,со своими доказательствами?","һәм, нәрсә, бу герой элек дәлилләре белән кайда иде?",Бу герой үзенең дәлилләре белән кайда иде?,tt,"һәм,чё,блядь кайда бу херой булган элек үз дәлилләре белән?","ну һәм кайда бу герой булган,үз дәлилләре белән?",0.8289029002189636,0.08059340715408325,0.15665912628173828
"и,чё,блядь где этот херой был до этого со своими доказательствами?",Где этот герой был до этого со своими доказательствами?,"һәм, нәрсә, бу герой элек дәлилләре белән кайда иде?",Бу герой үзенең дәлилләре белән кайда иде?,tt,"һәм,чё,блядь кайда бу херой булган элек үз дәлилләре белән?",кайда бу герой булган элек үз дәлилләре белән?,0.8289029002189636,0.08059340715408325,0.15665912628173828
"и,чё,блядь где этот херой был до этого со своими доказательствами?","и,где этот герой был до этого со своими доказательствами?","һәм, нәрсә, бу герой элек дәлилләре белән кайда иде?",һәм бу герой үзенең дәлилләре белән кайда иде?,tt,"һәм,чё,блядь кайда бу херой булган элек үз дәлилләре белән?","һәм,кайда бу герой булган элек үз дәлилләре белән?",0.8289029002189636,0.08059340715408325,0.017240285873413086
"О, а есть деанон этого петуха?","О, а есть деанон","Эх, бу әтәч өчен деонон бармы?","Эх, анда Динон бар",tt,"о, а бар деанон этого петуха?","о, а бар деанон",0.8033255338668823,0.9931486248970032,0.002651691436767578
"херну всякую пишут,из-за этого лайка.долбоебизм.","Чушь всякую пишут, из- за этого лайка.",Мондыйлар аркасында алар төрлечә язалар. Бу ахмаклык.,Мондыйлар аркасында алар төрле мәгънәсез сүзләр язалар.,tt,"херну всякую пишут,из-өчен этого лайка.долбоебизм.","чушь всякую пишут, из- өчен этого лайка.",0.6602517366409302,0.9957173466682434,0.9989023208618164
"херну всякую пишут,из-за этого лайка.долбоебизм.","Ерунду всякую пишут,из-за этого лайка.",Мондыйлар аркасында алар төрлечә язалар. Бу ахмаклык.,Мондыйлар аркасында алар төрле мәгънәсез сүзләр язалар.,tt,"херну всякую пишут,из-өчен этого лайка.долбоебизм.","ерунду всякую пишут,из-өчен этого лайка.",0.6602517366409302,0.9957173466682434,0.9989023208618164
из за таких пидоров мы и страдаем,из за таких плохих людей мы и страдаем,Мондый фаготлар аркасында без газапланабыз,Мондый начар кешеләр аркасында без газапланабыз,tt,из өчен таких пидоров без һәм страдаем,из өчен таких плохих людей без һәм страдаем,0.8297945261001587,0.6478644013404846,0.9425588846206665
из за таких пидоров мы и страдаем,Из-за таких людей мы и страдаем,Мондый фаготлар аркасында без газапланабыз,Мондый кешеләр аркасында без газап чигәбез.,tt,из өчен таких пидоров без һәм страдаем,из-өчен таких людей без һәм страдаем,0.8297945261001587,0.6478644013404846,0.9941534399986267
из за таких пидоров мы и страдаем,из за таких как он мы и страдаем,Мондый фаготлар аркасында без газапланабыз,Аның кебек кешеләр аркасында без газап чигәбез,tt,из өчен таких пидоров без һәм страдаем,из өчен таких как ул без һәм страдаем,0.8297945261001587,0.6478644013404846,0.9962009787559509
гондон путинский он а не артист,"Человек Путина он, а не артист","Путин ассоль, ул рәссам түгел","Ул Путин кешесе, рәссам түгел",tt,гондон путинский ул а түгел артист,"человек путина ул, а түгел артист",0.7555378079414368,0.9952822327613831,0.04100841283798218
как урод такую херню пишет???,кто такую ерунду пишет,Ничек гаҗәп андый язуны яза ???,андый мәгънәсез сүзләр язучы,tt,как урод такую херню пишет???,кто такую ерунду пишет,0.7806310653686523,0.9899665117263794,0.989180326461792
в гсвг за такие сапоги пиздюлей получил бы от сослуживцев,В ГСВГ за такие сапоги наказали бы сослуживцы,GSVGда мин мондый итек өчен хезмәттәшләремнән шап алыр идем,GSVGда хезмәттәшләр мондый итек өчен җәза бирерләр,tt,в гсвг өчен такие сапоги пиздюлей получил бы от сослуживцев,в гсвг өчен такие сапоги наказали бы сослуживцы,0.7696539163589478,0.9936578869819641,0.9792449474334717
Скудоумие это свойство личности проявлять умственную ограниченность. И где здесь обзывание?,Слабоумие это свойство личности проявлять умственную ограниченность. И где здесь обзывание?,Зәгыйфь уй - психик чикләүләрне күрсәтү өчен кешенең милеге. Кайда исем чакыру?,Деменсия - кешенең психик чикләүләрен күрсәтү сәләте. Кайда исем чакыру?,tt,скудоумие бу свойство личности проявлять умственную ограниченность. һәм кайда здесь обзывание?,слабоумие бу свойство личности проявлять умственную ограниченность. һәм кайда здесь обзывание?,0.6601039171218872,0.06648027896881104,0.006416380405426025
Спасибо! Потому что предвзятость модераторов начинает напрягать - модерируют как бык поссал.,Спасибо! Потому что предвзятость модераторов начинает раздражать-модерируют спустя рукава.,Рәхмәт! Модераторларның икейөзлелеге күңелсезләнә башлый - алар үгез сыман уртача.,Рәхмәт! Чөнки модераторларның икейөзлелеге ярсыта башлый - алар игътибарсыз.,tt,спасибо! потому нәрсә предвзятость модераторов начинает напрягать - модерируют как бык поссал.,спасибо! потому нәрсә предвзятость модераторов начинает раздражать-модерируют спустя рукава.,0.743771493434906,0.9587949514389038,0.9740212559700012
Спасибо! Потому что предвзятость модераторов начинает напрягать - модерируют как бык поссал.,Спасибо! Потому что предвзятость модераторов начинает напрягать.,Рәхмәт! Модераторларның икейөзлелеге күңелсезләнә башлый - алар үгез сыман уртача.,Рәхмәт! Чөнки модераторларның икейөзлелеге мине борчый башлады.,tt,спасибо! потому нәрсә предвзятость модераторов начинает напрягать - модерируют как бык поссал.,спасибо! потому нәрсә предвзятость модераторов начинает напрягать.,0.743771493434906,0.9587949514389038,0.9537148475646973
"У меня бывает говорение о себе в 3-м лице... А может это шизофрения, кто знает?)","У меня бывает говорение о себе в 3-м лице... А может это шизофрения, кто знает?)","Мин үзем турында 3-нче кешедә сөйләшәм ... Яисә бу шизофрениядер, кем белә?)","Мин үзем турында 3-нче кешедә сөйләшәм ... Яисә бу шизофрениядер, кем белә?)",tt,"у меня бывает говорение о себе в 3-м лице... а может бу шизофрения, кто знает?)","у меня бывает говорение о себе в 3-м лице... а может бу шизофрения, кто знает?)",0.9012889266014099,0.9028998017311096,0.9028998017311096
"Он про марихуану и вообще дуй отсюда, пока твой батя новый аккаунт не спалил.",Он про марихуану и вообще иди отсюда пока твой батя новый аккаунт не спалил,Бу марихуана турында һәм әтиегез яңа счетыгызны яндырганчы моннан чыгыгыз.,Бу марихуана турында һәм әтиегез яңа счетыгызны яндырганчы моннан чыгыгыз,tt,"ул про марихуану һәм вообще дуй отсюда, пока твой батя новый аккаунт түгел спалил.",ул про марихуану һәм вообще иди отсюда пока твой батя новый аккаунт түгел спалил,0.8334460258483887,0.9312845468521118,0.9603947997093201
"слышишь тыпиздед! что то вы помощники россии не едите жить в деревню, а прёте в города!","Что же вы помощники России не едите жить в деревню, а все в городе едите?","Сез ишеткәнегезне ишетәсезме? Нигә сез Россия ярдәмчеләре авылда яшәргә түгел, ә шәһәрләргә барырга?","Нигә сез Россия ярдәмчеләре авылда яшәргә түгел, ә шәһәрдә яшәргә?",tt,"слышишь тыпиздед! нәрсә то сез помощники россии түгел едите жить в деревню, а прёте в города!","нәрсә же сез помощники россии түгел едите жить в деревню, а все в городе едите?",0.8347629308700562,0.9796944260597229,0.03231734037399292
"слышишь тыпиздед! что то вы помощники россии не едите жить в деревню, а прёте в города!","Что-то вы, помощники России,  не едете жить в деревню, а живете в городах","Сез ишеткәнегезне ишетәсезме? Нигә сез Россия ярдәмчеләре авылда яшәргә түгел, ә шәһәрләргә барырга?","Нигәдер, сез, Россия ярдәмчеләре, авылларда яшәргә түгел, ә шәһәрләрдә яшәргә",tt,"слышишь тыпиздед! нәрсә то сез помощники россии түгел едите жить в деревню, а прёте в города!","нәрсә-то сез, помощники россии,  түгел едете жить в деревню, а живете в городах",0.8347629308700562,0.9796944260597229,0.9103059768676758
"ну и выродки,это твой ребёнок,зачем ты сучка рожала.","ну и люди,это твой ребёнок,зачем ты рожала.","Хәер, геекс, бу сезнең балагыз, нигә канчык тудырдыгыз?","Яхшы кешеләр, бу сезнең балагыз, нигә сез тудырдыгыз.",tt,"ну һәм выродки,бу твой ребёнок,зачем ты сучка рожала.","ну һәм кешеләр,бу твой ребёнок,зачем ты рожала.",0.8165206909179688,0.24426370859146118,0.9474231004714966
людям нам тоесть что выбросов нет вешают людям машиной якобы какой то контроль держат ничего козлы не контролируют,Людям нам то есть что выбросов нет вешают людям машиной якобы какой то контроль держат ничего не контралируют,"безнең өчен кешеләр, ягъни чыгарулар юк, алар машинаны кешеләргә асалар, ниндидер контроль, алар бернәрсә дә сакламыйлар, кәҗәләр идарә итмиләр","Безгә кешеләр, ягъни чыгарулар юк, алар кешеләрнең машиналарын ниндидер контроль булырга тиеш дип асалар, алар бернәрсә белән дә идарә итмиләр.",tt,людям нам тоесть нәрсә выбросов нет вешают людям машиной якобы какой то контроль держат ничего козлы түгел контролируют,людям нам то бар нәрсә выбросов нет вешают людям машиной якобы какой то контроль держат ничего түгел контралируют,0.8712129592895508,0.9916865229606628,0.9966568946838379
позорник кадони поддержал зажравшегося меньщикова... без команды боится ребят поддержать и поставить придурка на место...,Кадони поддержал меньшикова. Без команды боится ребят поддержать и поставить его на место.,хурлыклы Кадони Менщиковка ярдәм итте ... командасыз ул егетләргә булышырга һәм ахмакны аның урынына куярга курка ...,Кадони Меншиковка ярдәм итте. Командасыз ул егетләргә булышырга һәм аны үз урынына куярга курка.,tt,позорник кадони поддержал зажравшегося меньщикова... без команды боится ребят поддержать һәм поставить придурка на место...,кадони поддержал меньшикова. без команды боится ребят поддержать һәм поставить его на место.,0.7330217361450195,0.9975009560585022,0.9940180778503418
сергей алонцев а ты приедь ко мне в гости на дальний восток чёрт ёбанный сам услышиш,сергей алонцев а ты приедь ко мне в гости на дальний восток  сам услышиш,"Сергей Алонцев, килегез һәм миңа Ерак Көнчыгышта кунакка барыгыз, сез аны үзегез ишетерсез","Сергей Алонцев, килегез, миңа Ерак Көнчыгышта килегез, сез үзегез ишетерсез",tt,сергей алонцев а ты приедь ко мне в гости на дальний восток чёрт ёбанный сам услышиш,сергей алонцев а ты приедь ко мне в гости на дальний восток  сам услышиш,0.8210660219192505,0.03384387493133545,0.018477559089660645
сергей алонцев а ты приедь ко мне в гости на дальний восток чёрт ёбанный сам услышиш,Сергей алонцев а ты приедь ко мне в гости на дальний восток сам услышишь,"Сергей Алонцев, килегез һәм миңа Ерак Көнчыгышта кунакка барыгыз, сез аны үзегез ишетерсез","Сергей Алонцев, килегез, миңа ерак Көнчыгышта килегез, сез үзегез ишетерсез",tt,сергей алонцев а ты приедь ко мне в гости на дальний восток чёрт ёбанный сам услышиш,сергей алонцев а ты приедь ко мне в гости на дальний восток сам услышишь,0.8210660219192505,0.03384387493133545,0.34286439418792725
Почему у росгвардейца гибддшная палочка?,Почему у росгварлейца полицейский жезл?,Ни өчен Милли Гвардиядә юл эстафетасы бар?,Ни өчен Россия Гвардиясендә полиция эстафетасы бар?,tt,ни өчен у росгвардейца гибддшная палочка?,ни өчен у росгварлейца полицейский жезл?,0.6384575366973877,0.0031868815422058105,0.0037288665771484375
