orig_toxic,orig_neutral,toxic_comment,neutral_comment,lang,sim_score,toxic_score,neutral_score
he had steel balls too !,he was brave too!,የብረት ኳሶችም ነበሩት!,እሱ ደግሞ ደፋር ነበር!,am,0.8884249925613403,0.0004228949546813965,0.0007515549659729004
"dude should have been taken to api , he would be right at home with all the other knuckleheads there",It would have been good if he went to api. He would fit in.,ዱድ ወደ ኤፒአይ መወሰድ ነበረበት ፣ እሱ እዚያ ካሉት ሌሎች የእጅ አንጓዎች ጋር እቤት ውስጥ ይሆናል,ወደ አፒ ቢሄድ ጥሩ ነበር። እሱ ውስጥ ይገባ ነበር።,am,0.8270336389541626,0.483012855052948,0.0013736486434936523
"im not gonna sell the fucking picture , i just want to contribute to the fucking article .","I'm not gonna sell the picture, i just want to contribute to the article.",ምስሉን አልሸጥም ፣ ለሚለው መጣጥፍ ማበርከት ብቻ ነው የምፈልገው።,ምስሉን አልሸጥም ፣ ለጽሑፉ ማበርከት ብቻ ነው የምፈልገው።,am,0.8723499178886414,0.0004348158836364746,0.0004054903984069824
the garbage that is being created by cnn and other news agencies is outrageous .,the news that is being created by cnn and other news agencies is outrageous.,በሲኤንኤን እና በሌሎች የዜና ኤጀንሲዎች እየተፈጠረ ያለው ቆሻሻ በጣም አስጸያፊ ነው።,በሲኤንኤን እና በሌሎች የዜና ኤጀንሲዎች እየተፈጠሩ ያሉት ዜናዎች በጣም አጸያፊ ናቸው።,am,0.8394393920898438,0.0009327530860900879,0.0003241300582885742
the reason they dont exist is because neither is a pathological liar like trump .,The reason they don't exist is because neither lies like trump,የማይኖሩበት ምክንያት እንደ ትራምፕ የፓቶሎጂ ውሸታም አይደለም.,የማይኖሩበት ምክንያት ሁለቱም እንደ ትራምፕ አይዋሹም።,am,0.8048615455627441,0.007913649082183838,0.0008460283279418945
i hope they beat each other silly .,I think they beat each other,እርስ በእርሳቸው ሞኝ እንደሚሆኑ ተስፋ አደርጋለሁ.,እርስ በርሳቸው የተደበደቡ ይመስለኛል,am,0.8382916450500488,0.0007984042167663574,0.0023820996284484863
no good bastards that we are and we are unrepentant about it .,no good people that we are and we are unrepentant about it,ምንም ጥሩ ዲቃላዎች እንደሆንን እና ስለ እሱ ንስሐ አንገባም.,እኛ ጥሩ ሰዎች አይደለንም እናም በዚህ ንስሐ አንገባም።,am,0.8580648303031921,0.003922641277313232,0.00044602155685424805
stop the coverage and let em rot .,kindly stop the coverage,ሽፋኑን ያቁሙ እና እንዲበሰብስ ያድርጉ .,ሽፋኑን በደግነት ያቁሙ,am,0.8332542777061462,0.0009865760803222656,0.0006721019744873047
delete the page and shut up,please delete the page,ገጹን ሰርዝ እና ዝጋ,እባክህ ገጹን ሰርዝ,am,0.9184114336967468,0.0007677078247070312,0.0003826618194580078
honestly catcalling really sounds stupid .,It's not wise to catcall frankly.,በሐቀኝነት መጥራት በእርግጥ ሞኝነት ይመስላል።,በግልፅ መጥራት ብልህነት አይደለም።,am,0.7913067936897278,0.0007889270782470703,0.0007081031799316406
