orig_toxic,orig_neutral,toxic_comment,neutral_comment,lang,sim_score,toxic_score,neutral_score
he had steel balls too !,he was brave too!,彼は鋼球も持っていた！,彼も勇敢でした！,ja,0.9486510753631592,0.0006563067436218262,0.0004037022590637207
"dude should have been taken to api , he would be right at home with all the other knuckleheads there",It would have been good if he went to api. He would fit in.,男はAPIに連れて行かれるべきだった、彼はそこにいる他のナックルヘッド全員と一緒に家にいるでしょう,APIに行けばよかった。彼ならぴったりだろう。,ja,0.8257287740707397,0.9713444113731384,0.0006052255630493164
"im not gonna sell the fucking picture , i just want to contribute to the fucking article .","I'm not gonna sell the picture, i just want to contribute to the article.",私はクソ画像を売るつもりはない、クソ記事に貢献したいだけだ。,写真を売るつもりはありません、記事に貢献したいだけです。,ja,0.8991708159446716,0.7534806132316589,0.0004450678825378418
the garbage that is being created by cnn and other news agencies is outrageous .,the news that is being created by cnn and other news agencies is outrageous.,CNN や他の通信社が作成しているゴミは言語道断です。,CNN や他の通信社が作成しているニュースはとんでもないものです。,ja,0.7171289324760437,0.9754312038421631,0.004466533660888672
the reason they dont exist is because neither is a pathological liar like trump .,The reason they don't exist is because neither lies like trump,彼らが存在しない理由は、どちらもトランプのような病的な嘘つきではないからです。,彼らが存在しない理由は、どちらもトランプのような嘘をつかないからだ,ja,0.8552207946777344,0.9723224639892578,0.0031435489654541016
i hope they beat each other silly .,I think they beat each other,彼らがお互いに愚かに打ち負かしてくれることを願っています。,彼らはお互いに打ち負かしたと思う,ja,0.8646738529205322,0.011466443538665771,0.0005379319190979004
no good bastards that we are and we are unrepentant about it .,no good people that we are and we are unrepentant about it,私たちはろくでもない野郎であり、それについて悔い改めていません。,私たちは善良な人間ではなく、それについて悔い改めていません,ja,0.7557608485221863,0.965930163860321,0.0007042884826660156
stop the coverage and let em rot .,kindly stop the coverage,報道をやめて腐らせてください。,報道をやめてください,ja,0.7291349172592163,0.9646696448326111,0.003153383731842041
delete the page and shut up,please delete the page,ページを削除して黙ってください,ページを削除してください,ja,0.9059510827064514,0.002480447292327881,0.00102996826171875
honestly catcalling really sounds stupid .,It's not wise to catcall frankly.,正直言って、罵倒するのは本当に愚かに聞こえます。,率直に言って怒鳴りつけるのは賢明ではありません。,ja,0.7930190563201904,0.0014508366584777832,0.0006292462348937988
every time you flag the post like a coward you make my point .,Every time you flag a post you make a point,あなたが卑怯者のように投稿にフラグを立てるたびに、あなたは私の主張を主張します。,投稿にフラグを立てるたびに、自分の意見を表明することになります,ja,0.8126423954963684,0.20751041173934937,0.0004038214683532715
only to replaced by another braindead consensus .,Only to replaced by another consensus.,別の脳死したコンセンサスに置き換えられるだけです。,別のコンセンサスに置き換えられるだけです。,ja,0.813353419303894,0.04215359687805176,0.0007472634315490723
this is a free country that protectsamendment rights from little commies like you .,This is a free country.,これはあなたのような小さな共産主義者から改正の権利を保護する自由な国です。,ここは自由な国です。,ja,0.7914165258407593,0.9620582461357117,0.0005748271942138672
